layer_1_term_1,index,x,y_pred,y_true,y_best,final_ans_in_last_layer,y_pred_similarity_score,y_pred_similarity_percentile,y_best_similarity_score,y_best_similarity_percentile,layer_1_term_1_votes,layer_1_term_2,layer_1_term_2_votes,layer_1_term_3,layer_1_term_3_votes,layer_2_term_1,layer_2_term_1_votes,layer_2_term_2,layer_2_term_2_votes,layer_2_term_3,layer_2_term_3_votes,layer_2_term_4,layer_2_term_4_votes,layer_2_term_5,layer_2_term_5_votes,layer_2_term_6,layer_2_term_6_votes,layer_3_term_1,layer_3_term_1_votes,layer_3_term_2,layer_3_term_2_votes,layer_3_term_3,layer_3_term_3_votes,layer_3_term_4,layer_3_term_4_votes,layer_3_term_5,layer_3_term_5_votes,layer_3_term_6,layer_3_term_6_votes,layer_4_term_1,layer_4_term_1_votes,layer_4_term_2,layer_4_term_2_votes,layer_4_term_3,layer_4_term_3_votes,layer_4_term_4,layer_4_term_4_votes,layer_4_term_5,layer_4_term_5_votes,layer_4_term_6,layer_4_term_6_votes,layer_5_term_1,layer_5_term_1_votes,layer_5_term_2,layer_5_term_2_votes,layer_5_term_3,layer_5_term_3_votes,layer_5_term_4,layer_5_term_4_votes,layer_5_term_5,layer_5_term_5_votes,layer_5_term_6,layer_5_term_6_votes
Immune system process,10,DHX58 C1QBP RIOK3 TKFC,RIG-I-like receptor signaling pathway,negative regulation of MDA-5 signaling pathway,RIG-I-like receptor signaling pathway,TRUE,0.53221446,0.989438349,0.53221446,0.989438349,1,Cellular metabolic process,1,Protein modification process,0,Antiviral response,1,Innate immune response,1,Interferon production,0,Carbohydrate metabolic process,0,RNA helicase activity,0,Protein complex assembly,0,Interferon production,0,Viral RNA sensing,0,Activation of innate immune response,0,Antiviral response,1,Pattern recognition receptor signaling pathway,1,Cytokine production involved in the innate immune response,0,RNA virus recognition,1,Interferon production,0,Viral RNA degradation,0,RIG-I-like receptor signaling pathway,1,Type I interferon production,0,Antiviral innate immune response,0,RIG-I-like receptor signaling pathway,*,Interferon beta production,0,Viral RNA genome replication detection,0,Type I interferon production,1,Viral RNA recognition,0,Activation of NF-kappaB in response to RNA virus,0
Cell cycle,11,CEP250 GSK3B UBXN2B CEP72 PARD6A NUP62 MARK4 APC BICD1 NSFL1C,Centriole replication,regulation of protein localization to centrosome,Centrosomal protein localization,TRUE,0.5100023,0.982479122,0.8236227,0.99975438,1,Signal transduction,0,Intracellular transport,1,Mitotic spindle organization,1,G2/M transition of mitotic cell cycle,0,Chromosome segregation,1,Microtubule-based transport,0,Mitotic spindle organization,1,Protein localization to the nucleus,0,Centrosome cycle,1,Chromosome segregation,0,Microtubule nucleation,0,Mitotic spindle assembly,1,Sister chromatid cohesion,0,Chromosome condensation,0,Centrosome duplication,1,Spindle assembly,1,Microtubule nucleation,0,Centrosome cycle,0,Microtubule nucleation,0,Spindle pole organization,0,Centriole replication,*,Pericentriolar material assembly,0,Centrosomal protein localization,0,Microtubule nucleation,1,Chromosome congression,0,Microtubule stabilization,0
Inflammatory response,12,PLA2G3 IL1B AVP PTGS2 AVPR1A CD74 ANXA1,Inflammatory response regulation,positive regulation of prostaglandin biosynthetic process,Prostaglandin biosynthetic process,TRUE,0.15754098,0.041100377,0.7703631,0.99975438,1,Signal transduction,1,Lipid metabolic process,0,Cytokine production,0,Prostaglandin synthesis,1,Anti-inflammatory response,0,Inflammatory response signaling,1,G protein-coupled receptor signaling pathway,0,Lipid signaling pathway,0,Cyclooxygenase pathway,0,Pro-inflammatory prostaglandin production,1,Arachidonic acid metabolism,1,Prostaglandin-mediated inflammation signaling,0,Cytokine production signaling,0,Vasopressin-regulated water reabsorption signaling,0,Prostaglandin E2 biosynthesis,0,Arachidonic acid metabolism,1,Cytokine-mediated signaling pathway,0,Prostaglandin synthesis,0,Phospholipase A2 activation,0,Inflammatory response regulation,1,Prostaglandin biosynthetic process,0,Eicosanoid secretion,0,Inflammatory response regulation,*,Cytokine production regulation,0,Eicosanoid metabolic process,1,Annexin A1 mediated anti-inflammation,0
Cellular developmental process,13,ZFPM1 TGFBR2 HEY2 TBX20 BMPR2 BMPR1A,Endocardial cushion formation,tricuspid valve development,Cardiac valve morphogenesis,TRUE,0.6081836,0.99246766,0.7989552,0.998690028,1,Signal transduction,1,Gene expression regulation,0,Cardiac cell differentiation,1,Endothelial cell development,0,Vascular smooth muscle cell differentiation,0,TGF-beta receptor signaling pathway,1,Cardiac cell differentiation,1,Negative regulation of cell proliferation,0,Endocardial cell differentiation,0,Cardiac valve morphogenesis,1,Cardiomyocyte differentiation,1,Cardiac muscle cell differentiation,0,Endothelial cell differentiation,0,Regulation of transcription from RNA polymerase II promoter in response to stress,0,Endothelial-to-mesenchymal transition,1,Valve interstitial cell differentiation,1,Cardiac jelly formation,0,Activation of cardiac gene expression,0,Myofibril assembly,0,Regulation of cardiac growth factor signaling,0,Activation of TGF-beta receptor signaling in EndMT,0,Regulation of gene expression by HEY2 in EndMT,0,BMPR-mediated cellular response in EndMT,0,Endocardial cushion formation,*,TGF-beta signaling in heart valve development,1,Cardiac jelly formation,0
Neurogenesis,14,DLX1 SIX3 ASCL1 BCHE DLX2 TAFA3 TAFA1 NOTCH3,Striatal interneuron maturation,neuroblast differentiation,Neuronal differentiation,TRUE,0.7020805,0.998608155,0.8911631,0.999590634,1,Regulation of transcription,1,Signal transduction,0,Neuronal differentiation,1,Neuroblast proliferation,0,Synaptogenesis,0,Regulation of neurogenesis,1,Regulation of synaptic transmission,0,Regulation of Notch signaling pathway,0,GABAergic neuron differentiation,1,Oligodendrocyte differentiation,0,Motor neuron differentiation,0,Neuronal lineage specification,0,Regulation of Notch signaling pathway,0,Forebrain neuron differentiation,1,Forebrain GABAergic neuron maturation,1,Interneuron precursor migration,1,Axonal targeting of GABAergic interneurons,0,Interneuron differentiation,0,Olfactory bulb interneuron differentiation,0,GABAergic neuron differentiation,0,Striatal interneuron maturation,*,Olfactory bulb interneuron differentiation,0,Cortical interneuron synaptic integration,0,Forebrain interneuron tangential migration,0,Subpallial interneuron migration,0,Medial ganglionic eminence (MGE) interneuron migration,1
Immune system process,15,KLF4 CXCL12 CCL21 CCL25 CCL28,T-cell homing to lymphoid tissues,negative regulation of leukocyte adhesion to vascular endothelial cell,Leukocyte chemotaxis,TRUE,0.31088707,0.779269691,0.36306888,0.776731619,1,Cellular response to stimulus,1,Regulation of cell proliferation,0,Chemokine-mediated signaling pathway,1,Leukocyte chemotaxis,1,Lymphocyte costimulation,0,Chemokine-mediated signaling pathway,1,Immune cell migration,0,Transcriptional regulation by KLF4,0,Chemokine-mediated leukocyte chemotaxis,1,Lymphocyte chemotactic activity,0,Regulation of inflammatory response,0,T-cell chemotaxis,0,Inflammatory response regulation,0,Lymphocyte migration,1,T-cell chemotaxis,1,Dendritic cell chemotaxis,0,Chemokine-mediated eosinophil migration,0,T-cell homing,1,Chemokine-mediated signaling pathway,0,Lymphocyte chemotaxis to lymph node,0,Thymocyte migration,0,T-cell homing to lymphoid tissues,*,Regulation of T-cell activation,0,T-cell extravasation,0,T-cell chemotaxis,1,T-cell activation,0
Immune system process,16,PGLYRP3 PGLYRP1 PGLYRP2,Peptidoglycan recognition protein signaling pathway,negative regulation of natural killer cell differentiation involved in immune response,Bacterial cell wall catabolism,TRUE,0.21406887,0.158261012,0.33581144,0.846242017,1,Host defense,1,Inflammatory response,0,Innate immune response,1,Recognition of bacteria,0,Activation of immune response,0,Innate immune response,1,Peptidoglycan recognition,1,Activation of immune response,0,Peptidoglycan recognition,1,Activation of antimicrobial response,1,Bacterial cell wall catabolism,0,Peptidoglycan recognition,1,Activation of immune response,0,Bacterial cell wall catabolism,0,Peptidoglycan binding,0,Activation of immune response to bacterial peptidoglycan,1,Bactericidal activity against Gram-positive bacteria,0,Activation of complement system,0,Opsonization,0,Peptidoglycan recognition,1,Peptidoglycan recognition protein signaling pathway,*,Activation of NF-kappaB in response to bacterial peptidoglycan,1,Stimulation of inflammatory response by PGRP-triggered pathways,0,Bacterial cell wall detection,0,Activation of innate immune response,0,Peptidoglycan clearance,0
Signal transduction,17,TGFBR1 TGFBR2 ACVR1 ENG TGFB2,Activation of TGF-beta receptor complex,positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,Activation of TGF-beta receptor complex,TRUE,0.47510588,0.990666448,0.47510588,0.990666448,1,Cellular response to growth factor stimulus,1,Developmental process,0,TGF-beta receptor signaling pathway,1,Regulation of SMAD protein signal transduction,1,Cellular response to growth factor stimulus,0,TGF-beta receptor signaling pathway,1,Regulation of SMAD protein signal transduction,1,Endothelial cell differentiation,0,Regulation of SMAD protein signal transduction,1,Activation of TGF-beta receptor activity,0,Cellular response to TGF-beta stimulus,0,Phosphorylation of SMAD proteins,0,Activation of TGF-beta receptors,0,TGF-beta receptor complex assembly,1,Phosphorylation of SMAD2/3 proteins,1,Nuclear translocation of SMAD proteins,1,Transcriptional activation by SMAD proteins,0,TGF-beta receptor ligand binding,0,Activation of TGFBR1 and TGFBR2 kinase activity,0,Recruitment of SMAD proteins,0,Activation of TGF-beta receptor complex,*,TGF-beta ligand-receptor binding,0,Regulation of SMAD protein complex assembly,0,SMAD2/3-complex formation,0,Phosphorylation of receptor-SMADs (R-SMADs),0,Regulation of transcriptional activity by SMAD2/3,1
Cellular response to stimulus,18,FOXC2 CXCR4 XBP1 SMOC2,Ubiquitin-mediated proteolysis,positive regulation of vascular wound healing,Angiogenesis,TRUE,0.07079192,0.015719666,0.6100057,0.995906337,1,Developmental process,1,Immune system process,0,Endoplasmic reticulum stress response,1,Lymphocyte chemotaxis,0,Angiogenesis,1,Vasculogenesis,0,Osteoblast differentiation,0,Adipogenesis,0,Unfolded protein response,1,ER-associated degradation,0,Regulation of ER to Golgi vesicle-mediated transport,0,Lymphangiogenesis,1,Chemokine-mediated angiogenesis,0,Endoplasmic reticulum stress-induced angiogenesis,0,ER-associated degradation,1,ER chaperone protein binding,0,Regulation of ER to Golgi vesicle-mediated transport,0,Lymphatic endothelial cell differentiation,0,Lymphatic vessel remodeling,1,Lymphatic valve morphogenesis,0,Ubiquitin-mediated proteolysis,*,Proteasomal protein catabolic process,0,Endoplasmic reticulum membrane organization,0,Lymphatic endothelial cell differentiation,1,Chemokine-mediated signaling pathway,0,Regulation of lymphangiogenesis,0
Metal ion homeostasis,19,HP MT3 SNCA,Synaptic transmission regulation by zinc ions in dopaminergic neurons,regulation of hydrogen peroxide catabolic process,Dopaminergic neuron iron ion homeostasis,TRUE,0.33593947,0.787866383,0.4396596,0.974946782,1,Neurological system process,1,Response to stress,0,Zinc ion homeostasis,1,Copper ion homeostasis,0,Neuronal metal ion homeostasis,1,Dopaminergic synapse regulation,0,Metal ion homeostasis in neurons,0,Heme biosynthetic process in neural tissue,0,Neuronal zinc ion homeostasis,1,Zinc ion transport,0,Regulation of zinc-dependent enzymes,0,Dopaminergic neuron metal ion homeostasis,1,Synaptic zinc ion homeostasis,0,Neuronal iron ion regulation,0,Dopaminergic neuron zinc ion homeostasis,1,Hippocampal neuron zinc ion homeostasis,0,Neuronal zinc ion buffering,1,Dopaminergic neuron iron ion homeostasis,0,Dopaminergic neuron manganese ion homeostasis,0,Regulation of SNCA in metal ion homeostasis,0,Synaptic transmission regulation by zinc ions in dopaminergic neurons,*,Zinc-mediated neuroprotection in dopaminergic neurons,1,Zinc ion dysregulation in Parkinson's disease,0,Zinc ion sequestration by MT3,0,Regulation of neuronal zinc ion transport,0,Neuronal response to zinc ion excess,0
Immune system process,21,IL23A IL15 TYK2 IL12B FCGR3A PTPN22 EMP2 HLA-E IL18 LEP STAT5B SLAMF1 ELF4 JAK2 IL23R,Interleukin-23-induced Th17 cell proliferation,natural killer cell proliferation,Natural killer cell activation involved in immune response,TRUE,0.3758383,0.938676928,0.77249026,0.999426887,1,Signal transduction,1,Inflammatory response,0,Cytokine production,0,T cell activation,0,Inflammatory response,0,Cytokine-mediated signaling pathway,1,JAK-STAT cascade,1,T-cell activation,0,Interleukin-23-mediated signaling pathway,1,JAK-STAT cascade,1,T cell costimulation,0,Interleukin-12 signaling pathway,0,Interleukin-23 mediated signaling pathway,0,Interleukin-15 signaling pathway,0,Th17 cell differentiation,1,Interleukin-23-induced cytokine production,0,Autoimmune inflammatory response,0,Interleukin-23-mediated signaling pathway,1,Interleukin-12-mediated signaling pathway,0,Natural killer cell activation involved in immune response,0,Interleukin-23-induced Th17 cell proliferation,*,Th17 cell cytokine production,0,Th17 cell migration,0,Th17 cell differentiation,1,Interleukin-23-induced cytokine production,0,Autoimmune inflammatory response regulation,0
Signal transduction,22,WNT5A RYK FZD3,WNT5A-mediated non-canonical signaling,dopaminergic neuron axon guidance,Axon guidance,TRUE,0.38503784,0.927460291,0.7164415,0.997789422,1,Developmental process,1,Cell differentiation,0,Wnt signaling pathway activation,1,Non-canonical Wnt signaling pathway,1,Regulation of cellular component movement,0,Cell differentiation,0,Tissue morphogenesis,0,Axon guidance,0,Non-canonical Wnt signaling pathway activation,1,Planar cell polarity pathway signaling,1,Wnt/Calcium pathway signaling,0,Planar cell polarity (PCP) pathway activation,0,Calcium-dependent Wnt signaling activation,0,Wnt/Ca2+ pathway,0,Planar cell polarity (PCP) pathway activation,1,Wnt/Ca2+ pathway activation,1,Wnt5a-mediated cell migration,0,WNT5A-FZD3 mediated cell polarity signaling,0,RYK-mediated non-canonical Wnt signaling,0,Cytoskeletal rearrangement via planar cell polarity pathway,0,WNT5A-mediated non-canonical signaling,*,RYK-dependent signal transduction,1,FZD3 receptor activation,0,Wnt5a-mediated cell motility,0,Wnt-induced calcium signaling,0,Activation of RhoA GTPase,0
Metabolic process,23,NR1H4 SIRT1 TRPM4 NCOA1 NCOA2 GHRL PPARG SORL1,Bile acid receptor activity,positive regulation of adipose tissue development,Adipogenesis,TRUE,0.16135019,0.06328803,0.6058781,0.996315703,1,Gene expression regulation,1,Signal transduction,0,Lipid metabolic process,1,Glucose metabolic process,0,Energy homeostasis,1,Lipid metabolism regulation,0,Energy homeostasis,1,Chromatin remodeling,0,Fatty acid metabolic process,0,Cholesterol homeostasis,1,Adipogenesis,0,Lipid metabolic process,1,Appetite regulation,0,Glucose metabolic process,0,Bile acid regulatory process,1,Reverse cholesterol transport,0,Cholesterol efflux,0,Adipogenesis,0,Cholesterol homeostasis,1,Fatty acid oxidation,0,Bile acid synthesis,0,Bile acid transport,0,Bile acid receptor activity,*,Bile acid regulatory activity,1,HDL cholesterol efflux,0,Lipoprotein particle remodeling,1
Signal transduction,24,NGEF EFNA1 PTEN DTNBP1 DNM3 NLGN1,Postsynaptic density protein signaling,negative regulation of dendritic spine morphogenesis,Regulation of dendritic spine development,TRUE,0.5186003,0.974537416,0.7612386,0.998771901,1,Neuronal system development,1,Cellular component organization,0,Neuronal signal transmission,1,Ephrin receptor signaling pathway,0,PI3K-Akt signaling pathway,0,Synaptogenesis,1,Neuronal differentiation,0,Axon guidance,0,Synaptic vesicle exocytosis,1,Dendritic spine development,0,Regulation of long-term synaptic potentiation,0,Neuronal synaptic plasticity,1,Axon guidance,0,Dendritic spine morphogenesis,0,Calcium ion-triggered synaptic vesicle fusion,0,SNARE complex formation,0,Neurotransmitter loading into synaptic vesicles,0,Long-term potentiation,1,Axonogenesis,0,Dendritic spine morphogenesis,1,Postsynaptic density protein signaling,*,AMPAR receptor trafficking,1,PI3K-Akt signaling pathway modulation,0,Regulation of dendritic spine development,0,Synaptic membrane adhesion,0,Actin cytoskeleton organization in dendritic spines,0
Signal transduction,25,PGR ESR1 WNT4 AR CSMD1 VDR MED1,Estrogen-mediated transcription initiation,mammary gland branching involved in pregnancy,Estrogen-induced cell proliferation,TRUE,0.37177822,0.864172261,0.4523334,0.970443753,1,Regulation of gene expression,1,Developmental process,0,Steroid hormone-mediated signaling pathway,1,Wnt signaling pathway,0,Transcriptional regulation by steroid hormone receptor,1,Steroid hormone-mediated signaling pathway,1,Transcriptional activation by the mediator complex,0,"Wnt signaling pathway, canonical",0,Estrogen receptor signaling pathway,1,Androgen receptor signaling pathway,1,Progesterone receptor signaling pathway,0,Estrogen receptor signaling pathway,1,Androgen receptor signaling pathway,1,Vitamin D receptor mediated signaling,0,Estrogen response element binding,1,Regulation of gene expression by estrogen receptor,0,Estrogen-induced cell proliferation,0,Prostate gland growth,0,Regulation of muscle cell differentiation,0,Androgen-regulated gene expression,1,Estrogen-mediated transcription initiation,*,Chromatin remodeling by estrogen receptor,1,Regulation of downstream gene expression by estrogen receptor,0,Activation of prostate-specific genes,0,Regulation of muscle cell differentiation,0,Inhibition of adipocyte differentiation,0
